"1312.4415","Zaid Towfic","Zaid J. Towfic and Ali H. Sayed","Adaptive Penalty-Based Distributed Stochastic Convex Optimization","13 pages, 1 figure",,"10.1109/TSP.2014.2331615",,"math.OC cs.DC cs.MA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we study the task of distributed optimization over a network of
learners in which each learner possesses a convex cost function, a set of
affine equality constraints, and a set of convex inequality constraints. We
propose a fully-distributed adaptive diffusion algorithm based on penalty
methods that allows the network to cooperatively optimize the global cost
function, which is defined as the sum of the individual costs over the network,
subject to all constraints. We show that when small constant step-sizes are
employed, the expected distance between the optimal solution vector and that
obtained at each node in the network can be made arbitrarily small. Two
distinguishing features of the proposed solution relative to other related
approaches is that the developed strategy does not require the use of
projections and is able to adapt to and track drifts in the location of the
minimizer due to changes in the constraints or in the aggregate cost itself.
The proposed strategy is also able to cope with changing network topology, is
robust to network disruptions, and does not require global information or rely
on central processors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:01:08 GMT""}]","2015-06-18"
"1312.4676","Vincent Labatut","G\""unce Keziban Orman, Vincent Labatut, Marc Plantevit (LIRIS),
  Jean-Fran\c{c}ois Boulicaut (LIRIS)","Une m\'ethode pour caract\'eriser les communaut\'es des r\'eseaux
  dynamiques \`a attributs","in French","Une m\'ethode pour caract\'eriser les communaut\'es des r\'eseaux
  dynamiques \`a attributs, Rennes : France (2014)",,,"cs.SI","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Many complex systems are modeled through complex networks whose analysis
reveals typical topological properties. Amongst those, the community structure
is one of the most studied. Many methods are proposed to detect communities,
not only in plain, but also in attributed, directed or even dynamic networks. A
community structure takes the form of a partition of the node set, which must
then be characterized relatively to the properties of the studied system. We
propose a method to support such a characterization task. We define a
sequence-based representation of networks, combining temporal information,
topological measures, and nodal attributes. We then characterize communities
using the most representative emerging sequential patterns of its nodes. This
also allows detecting unusual behavior in a community. We describe an empirical
study of a network of scientific collaborations.---De nombreux syst\`emes
complexes sont \'etudi\'es via l'analyse de r\'eseaux dits complexes ayant des
propri\'et\'es topologiques typiques. Parmi cellesci, les structures de
communaut\'es sont particuli\`erement \'etudi\'ees. De nombreuses m\'ethodes
permettent de les d\'etecter, y compris dans des r\'eseaux contenant des
attributs nodaux, des liens orient\'es ou \'evoluant dans le temps. La
d\'etection prend la forme d'une partition de l'ensemble des noeuds, qu'il faut
ensuite caract\'eriser relativement au syst\`eme mod\'elis\'e. Nous travaillons
sur l'assistance \`a cette t\^ache de caract\'erisation. Nous proposons une
repr\'esentation des r\'eseaux sous la forme de s\'equences de descripteurs de
noeuds, qui combinent les informations temporelles, les mesures topologiques,
et les valeurs des attributs nodaux. Les communaut\'es sont caract\'eris\'ees
au moyen des motifs s\'equentiels \'emergents les plus repr\'esentatifs issus
de leurs noeuds. Ceci permet notamment la d\'etection de comportements
inhabituels au sein d'une communaut\'e. Nous d\'ecrivons une \'etude empirique
sur un r\'eseau de collaboration scientifique.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 07:47:14 GMT""}]","2013-12-18"
"1312.4677","Sourabh Lahiri","Sourabh Lahiri and A. M. Jayannavar","Exchange fluctuation theorems for a chain of interacting particles in
  presence of two heat baths","7 pages, 5 figures","Eur. Phys. J. B 87, 141 (2014)","10.1140/epjb/e2014-50219-9",,"cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The exchange fluctuation theorem for heat exchanged between two systems at
different temperatures, when kept in direct contact, has been investigated by
C. Jarzynski and D. K. W\'ojcik, in Phys. Rev. Lett. {\bf 92}, 230602 (2004).
We extend this result to the case where two Langevin reservoirs at different
temperatures are connected via a conductor made of interacting particles, and
are subjected to an external drive or work source. The Langevin reservoirs are
characterized by Gaussian white noise fluctuations and concomitant friction
coefficients. We first derive the Crooks theorem for the ratio between forward
and reverse paths, and discuss the first law in this model. Then we derive the
modified detailed fluctuation theorems (MDFT) for the heat exchanged at each
end. These theorems differ from the usual form of the detailed fluctuation
theorems (DFT) in literature, due the presence of an extra multiplicative
factor. This factor quantifies the deviation of our MFDT from the DFT. Finally,
we numerically study our model, with only two interacting particles for
simplicity.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 07:51:13 GMT""},{""version"":""v2"",""created"":""Tue, 20 May 2014 09:09:05 GMT""}]","2016-01-07"
"1312.4678","Djamal Belazzougui","Ibrahim Chegrane and Djamal Belazzougui","Simple, compact and robust approximate string dictionary","Accepted to a journal (19 pages, 2 figures)",,,,"cs.DS cs.DB","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper is concerned with practical implementations of approximate string
dictionaries that allow edit errors. In this problem, we have as input a
dictionary $D$ of $d$ strings of total length $n$ over an alphabet of size
$\sigma$. Given a bound $k$ and a pattern $x$ of length $m$, a query has to
return all the strings of the dictionary which are at edit distance at most $k$
from $x$, where the edit distance between two strings $x$ and $y$ is defined as
the minimum-cost sequence of edit operations that transform $x$ into $y$. The
cost of a sequence of operations is defined as the sum of the costs of the
operations involved in the sequence. In this paper, we assume that each of
these operations has unit cost and consider only three operations: deletion of
one character, insertion of one character and substitution of a character by
another. We present a practical implementation of the data structure we
recently proposed and which works only for one error. We extend the scheme to
$2\leq k<m$. Our implementation has many desirable properties: it has a very
fast and space-efficient building algorithm. The dictionary data structure is
compact and has fast and robust query time. Finally our data structure is
simple to implement as it only uses basic techniques from the literature,
mainly hashing (linear probing and hash signatures) and succinct data
structures (bitvectors supporting rank queries).
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 07:54:49 GMT""},{""version"":""v2"",""created"":""Sat, 23 Aug 2014 01:50:57 GMT""}]","2014-08-26"
"1312.4679","Lixin Xu","Lixin Xu","Confronting DGP Braneworld Gravity with Cosmic Observations after Planck
  Data","6 pages, 3 figures, match the published version","JCAP02(2014)048","10.1088/1475-7516/2014/02/048",,"astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The normal branch of Dvali-Gabadadze-Porrati braneworld gravity with brane
tension is confronted by the currently available cosmic observations from the
geometrical and dynamical perspectives. On the geometrical side, the type Ia
supernova as standard candle, the baryon acoustic oscillation as standard ruler
and the cosmic microwave background measurement from the first released 15.5
months data were used to fix the background evolutions. On the dynamical side,
the redshift space distortion data will be used to determine the evolution of
the matter perturbation. Through a Markov chain Monte Carlo analysis, we found
the dimensionless crossover scale
$\Omega_{r_c}=1/(4H^2_0r^2_{c})=0.00183_{-0.00183}^{+0.000338}$ in a spatially
flat normal branch of Dvali-Gabadadze-Porrati braneworld. This result suggests
that the crossover scale $r_c$ should be around $12H^{-1}_0$ which is
consistent with the previous result $r_c>3H^{-1}_0$ and greater. It also
implies that the five-dimensional gravity effect is weak to be observed in
$H^{-1}_0$ scale.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 07:55:51 GMT""},{""version"":""v2"",""created"":""Thu, 27 Feb 2014 07:46:43 GMT""}]","2014-02-28"
"1312.4680","Luca Gironi","L. Cardani, L. Gironi, N. Ferreiro Iachellini, L. Pattavina, J.W.
  Beeman, F. Bellini, N. Casali, O. Cremonesi, I. Dafinei, S. Di Domizio, F.
  Ferroni, E. Galashov, C. Gotti, S. Nagorny, F. Orio, G. Pessina, G. Piperno,
  S. Pirro, E. Previtali, C. Rusconi, C. Tomei, M. Vignati","First bolometric measurement of the two neutrino double beta decay of
  $^{100}$Mo with a ZnMoO$_4$ crystals array","6 pages, 2 figure, Accepted for publication in Journal of Physics G:
  Nuclear and Particle Physics","J. Phys. G: Nucl. Part. Phys. 41 (2014) 075204","10.1088/0954-3899/41/7/075204",,"nucl-ex","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The large statistics collected during the operation of a ZnMoO$_4$ array, for
a total exposure of 1.3 kg $\cdot$ day of $^{100}$Mo, allowed the first
bolometric observation of the two neutrino double beta decay of $^{100}$Mo. The
observed spectrum of each crystal was reconstructed taking into account the
different background contributions due to environmental radioactivity and
internal contamination. The analysis of coincidences between the crystals
allowed the assignment of constraints to the intensity of the different
background sources, resulting in a reconstruction of the measured spectrum down
to an energy of $\sim$300 keV. The half-life extracted from the data is
T$_{1/2}^{2\nu}$= [7.15 $\pm$ 0.37 (stat) $\pm$ 0.66 (syst)] $\cdot$ 10$^{18}$
y.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 07:59:23 GMT""},{""version"":""v2"",""created"":""Wed, 30 Apr 2014 15:23:54 GMT""}]","2014-05-26"
"1312.4681","Eric Marberg","Eric Marberg","Strong forms of self-duality for Hopf monoids in species","42 pages; v2: a few typographical errors corrected and references
  updated; v3: discussion in Sections 3.1 and 3.2 slightly revised, Theorem A
  corrected to include hypothesis about ambient field, final version","Trans. Amer. Math. Soc. 368 (2016), 5433-5473","10.1090/tran/6506",,"math.QA math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A vector species is a functor from the category of finite sets with
bijections to vector spaces (over a fixed field); informally, one can view this
as a sequence of $S_n$-modules. A Hopf monoid (in the category of vector
species) consists of a vector species with unit, counit, product, and coproduct
morphisms satisfying several compatibility conditions, analogous to a graded
Hopf algebra. A vector species has a basis if and only if it is given by a
sequence of $S_n$-modules which are permutation representations. We say that a
Hopf monoid is freely self-dual if it is connected and finite-dimensional, and
if it has a basis in which the structure constants of its product and coproduct
coincide. Such Hopf monoids are self-dual in the usual sense, and we show that
they are furthermore both commutative and cocommutative. We prove more specific
classification theorems for freely self-dual Hopf monoids whose products
(respectively, coproducts) are linearized in the sense that they preserve the
basis; we call such Hopf monoids strongly self-dual (respectively, linearly
self-dual). In particular, we show that every strongly self-dual Hopf monoid
has a basis isomorphic to some species of block-labeled set partitions, on
which the product acts as the disjoint union. In turn, every linearly self-dual
Hopf monoid has a basis isomorphic to the species of maps to a fixed set, on
which the coproduct acts as restriction. It follows that every linearly
self-dual Hopf monoid is strongly self-dual. Our final results concern
connected Hopf monoids which are finite-dimensional, commutative, and
cocommutative. We prove that such a Hopf monoid has a basis in which its
product and coproduct are both linearized if and only if it is strongly
self-dual with respect to a basis equipped with a certain partial order,
generalizing the refinement partial order on set partitions.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:05:58 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jul 2014 19:46:09 GMT""},{""version"":""v3"",""created"":""Fri, 20 Nov 2015 03:49:44 GMT""}]","2016-04-14"
"1312.4682","Hiroshi  Umemura","Katsunori Saito and Hiroshi Umemura","Toward quantized Picard-Vessiot theory, Further observations on our
  previous example",,,,,"math.QA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is quite natural to wonder whether there is a difference-differential
equations, the Galois group of which is a quantum group that is neither
commutative nor co-commutative. Believing that there was no such linear
equations, we explored non-linear equations and discovered a such equation. We
show that the example is related with a linear equation. We treat only one
charming example. It is not, however, an isolated example. We open a window
that allows us to have a look at a quantized Picard-Vessiot theory.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:09:47 GMT""}]","2013-12-18"
"1312.4683","Laura Gomez","Laura Gomez (1 and 2), Friedrich Wyrowski (3), Frederic Schuller (4),
  Karl Menten (3) and Javier Ballesteros-Paredes (5) ((1) Universidad de Chile,
  (2) CASS, (3) MPIfR, (4) ESO, (5) CRyA-UNAM)","The mass distribution of clumps within infrared dark clouds. A Large
  APEX Bolometer Camera study","Accepted for publication in A&A, 30 pages (online material: page 15
  to 30), low resolution version of figures 1 and 2",,"10.1051/0004-6361/201322310",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present an analysis of the dust continuum emission at 870 um in order to
investigate the mass distribution of clumps within infrared dark clouds
(IRDCs). We map six IRDCs with the Large APEX BOlometer CAmera (LABOCA) at
APEX, reaching an rms noise level of 28-44 mJy/beam. The dust continuum
emission coming from these IRDCs was decomposed by using two automated
algorithms, Gaussclumps and Clumpfind. Moreover, we carried out single-pointing
observations of the N_2H^+ (3-2) line toward selected positions to obtain
kinematic information. The mapped IRDCs are located in the range of kinematic
distances of 2.7-3.2 kpc. We identify 510 and 352 sources with Gaussclumps and
Clumpfind, respectively, and estimate masses and other physical properties
assuming a uniform dust temperature. The mass ranges are 6-2692 Msun
(Gaussclumps) and 7-4254 Msun (Clumpfind) and the ranges in effective radius
are around 0.10-0.74 pc (Gaussclumps) and 0.16-0.99 pc (Clumpfind). The mass
distribution, independent of the decomposition method used, is fitted by a
power law, dN/dM propto M^alpha, with an index of -1.60 +/- 0.06, consistent
with the CO mass distribution and other high-mass star-forming regions.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:11:08 GMT""}]","2015-06-18"
"1312.4684","Ewine F. van Dishoeck","Ewine F. van Dishoeck, Eric Herbst, and David A. Neufeld","Interstellar water chemistry: from laboratory to observations","Authors' manuscript 138 pages, 34 figures, 4 tables, published in a
  Thematic Issue ""Astrochemistry"" in Chemical Reviews (December 2013), volume
  113, 9043-9085 following peer review by the American Chemical Society. The
  published paper is available as open access at
  http://pubs.acs.org/doi/abs/10.1021/cr4003177","Chemical Reviews, 113, 9043-9085 (2013)","10.1021/cr4003177",,"astro-ph.GA astro-ph.CO astro-ph.EP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Water is observed throughout the universe, from diffuse interstellar clouds
to protoplanetary disks around young stars, and from comets in our own solar
system and exoplanetary atmospheres to galaxies at high redshifts. This review
summarizes the spectroscopy and excitation of water in interstellar space as
well as the basic chemical processes that form and destroy water under
interstellar conditions. Three major routes to water formation are identified:
low temperature ion-molecule chemistry, high-temperature neutral-neutral
chemistry and gas-ice chemistry. The rate coefficients of several important
processes entering the networks are discussed in detail; several of them have
been determined only in the last decade through laboratory experiments and
theoretical calculations. Astronomical examples of each of the different
chemical routes are presented using data from powerful new telescopes, in
particular the Herschel Space Observatory. Basic chemical physics studies
remain critically important to analyze astronomical data.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:21:14 GMT""}]","2013-12-18"
"1312.4685","Alberto Elduque","Alberto Elduque and Alicia Labra","Evolution algebras and graphs","10 pages",,,,"math.RA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A digraph is attached to any evolution algebra. This graph leads to some new
purely algebraic results on this class of algebras and allows for some new
natural proofs of known results. Nilpotency of an evolution algebra will be
proved to be equivalent to the nonexistence of oriented cycles in the graph.
Besides, the automorphism group of any evolution algebra $E$ with $E=E^2$ will
be shown to be always finite.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:23:58 GMT""}]","2013-12-18"
"1312.4686","Pascu Catalin Moca","Catalin Pascu Moca, Pascal Simon, Chung-Hou Chung, Gergely Zarand","Finite-frequency-dependent noise of a quantum dot in a magnetic field","17 pages, 18 figures","Phys. Rev. B 89, 155138 (2014)","10.1103/PhysRevB.89.155138",,"cond-mat.mes-hall","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a detailed study for the finite-frequency current noise of a Kondo
quantum dot in presence of a magnetic field by using a recently developed real
time functional renormalization group approach [Phys. Rev. B $\mathbf{83}$,
201303(R) (2011)]. The scaling equations are modified in an external magnetic
field; the couplings and non-local current vertices become strongly
anisotropic, and develop new singularities. Consequently, in addition to the
natural emission threshold frequency, $\hbar\omega = |eV|$, a corresponding
singular behavior is found to emerge in the noise spectrum at frequencies
$\hbar \omega \approx |eV\pm B|$. The predicted singularities are measurable
with present-day experimental techniques.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:25:01 GMT""},{""version"":""v2"",""created"":""Thu, 17 Apr 2014 13:21:33 GMT""}]","2014-04-30"
"1312.4687","Hakuto Suzuki","H. Suzuki, T. Kobayashi, S. Miyasaka, T. Yoshida, L. C. C. Ambolode
  II, S. Ideta, M. Yi, M. Hashimoto, D. H. Lu, Z.-X. Shen, K. Ono, H.
  Kumigashira, S. Tajima and A. Fujimori","Strongly three-dimensional electronic structure and Fermi Surfaces of
  SrFe$_{2}$(As$_{0.65}$P$_{0.35}$)$_{2}$: Comparison with
  BaFe$_{2}$(As$_{1-x}$P$_{x}$)$_{2}$",,"Physical Review B 89, 184513 (2014)","10.1103/PhysRevB.89.184513",,"cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The isovalent-substituted iron-pnictide superconductor
SrFe$_{2}$(As$_{1-x}$P$_{x}$)$_{2}$ ($x$=0.35) has a slightly higher optimum
critical temperature than the similar system
BaFe$_{2}$(As$_{1-x}$P$_{x}$)$_{2}$, and its parent compound SrFe$_{2}$As$_{2}$
has a much higher N\'eel temperature than BaFe$_{2}$As$_{2}$. We have studied
the band structure and the Fermi surfaces of optimally-doped
SrFe$_{2}$(As$_{1-x}$P$_{x}$)$_{2}$ by angle-resolved photoemission
spectroscopy (ARPES). Three holelike Fermi surfaces (FSs) around (0,0) and two
electronlike FSs around ($\pi$,$\pi$) have been observed as in the case of
BaFe$_{2}$(As$_{1-x}$P$_{x}$)$_{2}$. Measurements with different photon
energies have revealed that one of the hole FSs is more strongly warped along
the $k_{z}$ direction than the corresponding one in
BaFe(As$_{1-x}$P$_{x}$)$_{2}$, while the electron FSs are almost cylindrical
unlike corrugated ones in BaFe(As$_{1-x}$P$_{x}$)$_{2}$. Comparison of the
ARPES data with first-principles band-structure calculation revealed that the
quasiparticle mass renormalization factors are different not only between bands
of different orbital character but also between the hole and electron FSs of
the same orbital character. By examining nesting conditions between the hole
and electron FSs, we conclude that magnetic interactions between FeAs layers
rather than FS nesting play an important role in stabilizing the
antiferromagnetic order. The insensitivity of superconductivity to the FS
nesting can be explained if only the $d_{xy}$ and/or $d_{xz/yz}$ orbitals are
active in inducing superconductivity or if FS nesting is not important for
superconductivity.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:30:25 GMT""},{""version"":""v2"",""created"":""Thu, 15 May 2014 17:48:48 GMT""}]","2015-06-18"
"1312.4688","Matthias Steinhauser","Matthias Steinhauser","Towards analytic $(g-2)_\mu$ at four loops","5 pages, contribution to the proceedings of the international
  workshop on e+ e- collisions from Phi to Psi 2013; v2: references added",,"10.1142/S2010194514604177","TTP13-042, SFB/CPP-13-102","hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this contribution we present recent four-loop results for the muon
anomalous magnetic moment based on analytic methods. In particular, fermionic
corrections involving two or more closed electron loops or at least one tau
lepton loop are discussed.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:44:47 GMT""},{""version"":""v2"",""created"":""Fri, 27 Dec 2013 08:06:05 GMT""}]","2015-06-18"
"1312.4689","Takashi Kimura","Takashi Kimura","Strong-coupling study of spin-1 bosons in square and triangular optical
  lattice","13 pages, 8 figures, Submitted to J. Phys: Conf. Ser. as a proceeding
  for the 22nd International Laser Physics Workshop",,"10.1088/1742-6596/497/1/012024",,"cond-mat.quant-gas","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We examine the superfluid-Mott insulator (SF-MI) transition of
antiferromagnetically interacting spin-1 bosons trapped in a square or
triangular optical lattice. We perform a strong-coupling expansion up to the
third order in the transfer integral $t$ between the nearest-neighbor lattices.
As expected from previous studies, an MI phase with an even number of bosons is
considerably more stable against the SF phase than it is with an odd number of
bosons. Results for the triangular lattice are similar to those for the square
lattice, which suggests that the lattice geometry does not strongly affect the
stability of the MI phase against the SF phase.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:50:57 GMT""}]","2015-06-18"
"1312.4690","Sergey Dubovichenko","Sergey Dubovichenko and Albert Dzhazairov-Kakhramanov","Astrophysical radiative neutron capture on 10B taking into account
  resonance at 475 keV",,,,"APHI-2-12-13","nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The possibility of the description of the available experimental data for
cross sections of the neutron capture reaction on 10B at thermal and
astrophysical energies, taking into account the resonance at 475 keV, was
considered within the framework of the modified potential cluster model with
forbidden states and accounting for the resonance behavior of the scattering
phase shifts.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:51:57 GMT""}]","2013-12-18"
"1312.4691","Liudas Giraitis","Liudas Giraitis, Hira L. Koul","On asymptotic distributions of weighted sums of periodograms","Published in at http://dx.doi.org/10.3150/12-BEJ456 the Bernoulli
  (http://isi.cbs.nl/bernoulli/) by the International Statistical
  Institute/Bernoulli Society (http://isi.cbs.nl/BS/bshome.htm)","Bernoulli 2013, Vol. 19, No. 5B, 2389-2413","10.3150/12-BEJ456","IMS-BEJ-BEJ456","math.ST stat.TH","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We establish asymptotic normality of weighted sums of periodograms of a
stationary linear process where weights depend on the sample size. Such sums
appear in numerous statistical applications and can be regarded as a
discretized versions of quadratic forms involving integrals of weighted
periodograms. Conditions for asymptotic normality of these weighted sums are
simple, minimal, and resemble Lindeberg-Feller condition for weighted sums of
independent and identically distributed random variables. Our results are
applicable to a large class of short, long or negative memory processes. The
proof is based on sharp bounds derived for Bartlett type approximation of these
sums by the corresponding sums of weighted periodograms of independent and
identically distributed random variables.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 08:54:00 GMT""}]","2013-12-18"
"1312.4692","Toni Ernvall","Toni Ernvall, Jyrki Lahtonen, Hsiao-feng (Francis) Lu, Roope
  Vehkalahti","An error event sensitive trade-off between rate and coding gain in MIMO
  MAC","29 pages, 3 figures, submitted to IEEE Transactions on Information
  Theory","IEEE Transactions on Information Theory, vol. 61, issue 11, 2015,
  pages 5931-5947","10.1109/TIT.2015.2479638",,"cs.IT math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This work considers space-time block coding for the Rayleigh fading
multiple-input multiple-output (MIMO) multiple access channel (MAC). If we
suppose that the receiver is performing joint maximum-likelihood (ML) decoding,
optimizing a MIMO MAC code against a fixed error event leads to a situation
where the joint codewords of the users in error can be seen as a single user
MIMO code. In such a case pair-wise error probability (PEP) based determinant
criterion of Tarokh et al. can be used to upper bound the error probability.
  It was already proven by Lahtonen et al. that irrespective of the used codes
the determinants of the differences of codewords of the overall codematrices
will decay as a function of the rates of the users.
  This work will study this decay phenomenon further and derive upper bounds
for the decay of determinants corresponding any error event. Lower bounds for
the optimal decay are studied by constructions based on algebraic number theory
and Diophantine approximation. For some error profiles the constructed codes
will be proven to be optimal.
  While the perspective of the paper is that of PEP, the final part of the
paper proves how the achieved decay results can be turned into statements about
the diversity-multiplexing gain trade-off (DMT).
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 09:04:20 GMT""}]","2015-11-16"
"1312.4693","Stefano Longhi","Stefano Longhi","Non-Hermitian quantum rings","9 pages, 5 figures; to appear in the Phys. Rev. A","Phys. Rev. A 88, 062112 (2013)","10.1103/PhysRevA.88.062112",,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We investigate the spectral and dynamical properties of a quantum particle
constrained on a ring threaded by a magnetic flux in presence of a complex
(non-Hermitian) potential. For a static magnetic flux, the quantum states of
the particle on the ring can be mapped into the Bloch states of a complex
crystal, and magnetic flux tuning enables to probe the spectral features of the
complex crystal, including the appearance of exceptional points. For a
time-varying (linearly-ramped) magnetic flux, Zener tunneling among energy
states is realized owing to the induced electromotive force. As compared to the
Hermitian case, striking effects are observed in the non-Hermitian case, such
as a highly asymmetric behavior of particle motion when reversing the direction
of the magnetic flux and field-induced delayed transparency.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 09:08:22 GMT""}]","2015-06-18"
"1312.4694","Yoshikazu Mizuguchi","Atsushi Omachi, Joe Kajitani, Takafumi Hiroi, Osuke Miura, Yoshikazu
  Mizuguchi","High-temperature thermoelectric properties of novel layered
  bismuth-sulfide LaO1-xFxBiS2","13 pages, 7 figures","J. Appl. Phys. 115, 083909 (2014)","10.1063/1.4867186",,"cond-mat.supr-con","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We have investigated the high-temperature thermoelectric properties of the
layered compound LaO1-xFxBiS2. The electrical resistivity of LaOBiS2 showed an
anomalous behavior; a metal-semiconductor transition was observed around 270 K.
It was found that the value of the electrical resistivity decreased with F
substitution. The Seebeck coefficient decreased with increasing F
concentration. The highest power factor of 1.9 W/cmK2 at 480 C was obtained for
LaOBiS2.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 09:10:07 GMT""}]","2014-03-03"
"1312.4695","Wiktor Mlynarski","Wiktor Mlynarski","Sparse, complex-valued representations of natural sounds learned with
  phase and amplitude continuity priors","11 + 7 pages This version includes changes suggested by ICLR 2014
  reviewers",,,,"cs.LG cs.SD q-bio.NC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Complex-valued sparse coding is a data representation which employs a
dictionary of two-dimensional subspaces, while imposing a sparse, factorial
prior on complex amplitudes. When trained on a dataset of natural image
patches, it learns phase invariant features which closely resemble receptive
fields of complex cells in the visual cortex. Features trained on natural
sounds however, rarely reveal phase invariance and capture other aspects of the
data. This observation is a starting point of the present work. As its first
contribution, it provides an analysis of natural sound statistics by means of
learning sparse, complex representations of short speech intervals. Secondly,
it proposes priors over the basis function set, which bias them towards
phase-invariant solutions. In this way, a dictionary of complex basis functions
can be learned from the data statistics, while preserving the phase invariance
property. Finally, representations trained on speech sounds with and without
priors are compared. Prior-based basis functions reveal performance comparable
to unconstrained sparse coding, while explicitely representing phase as a
temporal shift. Such representations can find applications in many perceptual
and machine learning tasks.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 09:12:55 GMT""},{""version"":""v2"",""created"":""Wed, 18 Dec 2013 10:48:17 GMT""},{""version"":""v3"",""created"":""Tue, 18 Feb 2014 10:20:25 GMT""}]","2014-02-19"
"1312.4696","Alessandro Pastore","A. Pastore and D. Davesne and J. Navarro","Nuclear matter response function with a central plus tensor Landau
  interaction",,,"10.1088/0954-3899/41/5/055103",,"nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a method to obtain response functions in the random phase
approximation (RPA) based on a residual interaction described in terms of
Landau parameters with central plus tensor contributions. The response
functions keep the explicit momentum dependence of the RPA, in contrast with
the traditional Landau approximation. Results for symmetric nuclear matter and
pure neutron matter are presented using Landau parameters derived from
finite-range interactions, both phenomenological and microscopic. We study the
convergence of response functions as the number of Landau parameters is
increased.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 09:16:33 GMT""}]","2015-06-18"
"1312.4697","Tomoaki Nogawa","Tomoaki Nogawa and Takehisa Hasegawa","Transition-type change between an inverted
  Berezinskii-Kosterlitz-Thouless transition and an abrupt transition in the
  bond percolation on a random hierarchical small-world network","5 pages, 5 figures","Phys. Rev. E 89, 042803 (2014)","10.1103/PhysRevE.89.042803",,"cond-mat.stat-mech cond-mat.dis-nn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study bond percolation on a one-parameter family of hierarchical
small-world network, and find a meta-transition between the inverted BKT
transition and the abrupt transition driven by changing the network topology.
It is found that the order parameter is continuous and fractal exponent is
discontinuous in the inverted BKT transition, and oppositely, the former is
discontinuous and the latter is continuous in the abrupt transition. The gaps
of the order parameter and fractal exponent in each transition go to vanish as
approaching the meta-transition point. This point corresponds to a marginal
power-law transition. In the renormalization group formalism, this
meta-transition corresponds to the transition between transcritical and
saddle-node bifurcations of the fixed point via a pitchfork bifurcation.
","[{""version"":""v1"",""created"":""Tue, 17 Dec 2013 09:33:02 GMT""},{""version"":""v2"",""created"":""Wed, 16 Apr 2014 02:12:51 GMT""}]","2014-04-17"
